coords,state,district
"(19.0809075, 79.560344)",ANDHRA PRADESH,ADILABAD
"(14.5216407, 77.7452081)",ANDHRA PRADESH,ANANTAPUR
"(13.2218054, 79.1010441999999)",ANDHRA PRADESH,CHITTOOR
"(14.5767233, 78.8382644)",ANDHRA PRADESH,CUDDAPAH
"(17.32125, 82.0407137)",ANDHRA PRADESH,EAST GODAVARI
"(16.3905692, 80.0087746)",ANDHRA PRADESH,GUNTUR
"(17.385044, 78.486671)",ANDHRA PRADESH,HYDERABAD
"(18.5962386, 79.2902132999999)",ANDHRA PRADESH,KARIMNAGAR
"(17.6350961, 80.6326916)",ANDHRA PRADESH,KHAMMAM
"(16.6099914, 80.7214417)",ANDHRA PRADESH,KRISHNA
"(15.6443434, 78.1108278999999)",ANDHRA PRADESH,KURNOOL
"(16.3841436, 78.1108278999999)",ANDHRA PRADESH,MAHBUBNAGAR
"(17.8716468, 78.1108278999999)",ANDHRA PRADESH,MEDAK
"(17.1882998, 79.1999948999999)",ANDHRA PRADESH,NALGONDA
"(14.2580848, 79.9192702)",ANDHRA PRADESH,NELLORE
"(18.6185915, 78.1108278999999)",ANDHRA PRADESH,NIZAMABAD
"(18.4285005, 84.0167422999999)",ANDHRA PRADESH,SRIKAKULAM
"(17.7240124, 82.7347142)",ANDHRA PRADESH,VISAKHAPATNAM
"(17.9689008, 79.5940543999999)",ANDHRA PRADESH,WARANGAL
"(16.9174181, 81.3399414)",ANDHRA PRADESH,WEST GODAVARI
"(24.7821253, 92.8577105)",ASSAM,CACHAR
"(26.4522876, 92.0273189999999)",ASSAM,DARRANG
"(27.4728327, 94.9119621)",ASSAM,DIBRUGARH
"(26.0875755, 90.563609)",ASSAM,GOALPARA
"(26.3160819, 91.5983959)",ASSAM,KAMRUP
"(26.186085, 93.5812691999999)",ASSAM,KARBI ANGLONG
"(27.2063587, 94.1513763999999)",ASSAM,LAKHIMPUR
"(26.2996872, 92.6983867999999)",ASSAM,NAGAON
"(25.3478004, 93.0175712)",ASSAM,NORTH CACHAR HILLS
"(26.9826098, 94.6424521)",ASSAM,SIBSAGAR
"(25.3478004, 86.9824287999999)",BIHAR,BHAGALPUR
"(27.1543104, 84.3542049)",BIHAR,CHAMPARAN
"(26.111868, 85.8960039999999)",BIHAR,DARBHANGA
"(24.721344, 84.8567932)",BIHAR,GAYA
"(25.3747561, 86.4735250999999)",BIHAR,MUNGER
"(26.066674, 85.5200239999999)",BIHAR,MUZAFFARPUR
"(25.5940947, 85.1375645)",BIHAR,PATNA
"(25.7771391, 87.4752551)",BIHAR,PURNIA
"(25.860336, 86.6207943)",BIHAR,SAHARSA
"(25.8559698, 84.8567932)",BIHAR,SARAN
"(25.374422, 84.9511902)",BIHAR,SHAHABAD
